Slum_Percentage,Hospital_count,Population_density,NDVI,Built_up,Impervious_area,Nighttime_light,Road_density
6.234941407,4,319.441753,0.181682868,24.802,24.532,25.01760974,6.010463305
12.66404586,21,377.5755299,0.128676706,55.955,62.283,27.41758462,10.57103413
35.66293583,51,400.4500113,0.136262331,64.598,67.177,25.23669085,9.109584586
3.823522234,55,404.7327537,0.14919267,47.916,38.421,31.60051306,9.894662913
11.21033295,48,444.4176366,0.148444736,43.366,39.029,31.15055364,9.604257019
5.748691401,21,429.3582636,0.185475269,41.104,29.587,33.81030938,8.291888028
0.574738663,1,393.8993322,0.147269706,53.608,44.987,72.77732487,5.183234914
1.06846049,0,286.7037944,0.137436922,27.335,23.59,41.35601375,3.884337246
1.592894843,4,192.8931514,0.167004291,7.055,1.101,8.704414916,3.139822767
22.5982488,11,388.2164769,0.17390181,39.352,30.172,21.64623524,7.364310473
12.81261902,34,441.4905566,0.149876621,46.998,44.899,27.97140695,11.16733974
17.52174542,48,425.5300302,0.157614856,41.49,39.238,26.18588042,10.31013218
20.23099749,36,440.5366934,0.135149219,48.386,44.225,27.88428239,10.46028023
4.373748096,13,351.4437025,0.221455441,26.817,12.294,26.87616724,7.165904392
4.866167387,1,251.0670982,0.237591407,22.253,16.608,74.94668733,2.937639577
30.21020821,19,317.9576956,0.172847575,45.384,23.762,15.15517286,7.782659629
22.47884395,19,376.7204752,0.174195637,42.266,21.569,17.52411165,7.348097669
14.69214633,11,400.6060432,0.177447499,40.416,31.907,22.14186233,7.928456706
2.070892108,9,399.6191718,0.192774299,30.547,16.41,18.80101318,7.132838497
15.38485689,8,316.3573091,0.17772538,14,27.746,12.58658206,2.673466006
35.9034922,7,401.9954775,0.122371671,52.131,65.857,25.86885104,9.197620734
1.324787351,0,291.930486,0.226116779,29.237,2.487,22.55366132,6.384809566
17.1561259,9,225.4491912,0.227880122,21.19,14.558,17.30623797,5.672950135
5.79581384,20,314.0431304,0.197076761,38.802,21.751,21.96787089,7.851981014
2.493156907,26,387.6086502,0.169885684,40.416,18.431,22.18843455,9.708836277
5.950714844,22,404.5153411,0.169959368,43.75,24.979,20.39402017,7.419614132
7.698225237,16,299.6620985,0.194634321,13.58,6.426,10.31512413,3.550001472
3.266172165,7,260.3682013,0.155395931,10.576,8.743,10.86428232,2.980248144
5.506930277,0,256.8983364,0.115473186,10.736,10.574,12.23654677,1.922926265
11.39274011,1,213.1014896,0.169879247,15.991,17.397,11.4969355,3.662509897
4.108649548,55,309.4775639,0.149093116,36.201,26.807,30.29931999,9.707085632
3.743665248,33,392.1073128,0.171494523,34.77,19.239,24.0292883,9.0380353
