id,left,top,right,bottom,GridArea,SlumArea,NUMHospita,RoadArea,PopDensmea,NDVImean,PercBuiltU,Imperperc,NTLmean
54,8105383.973480461165309,2172548.496106089558452,8107383.973480461165309,2170548.496106089558452,3551151.682331670075655,232098.583,13.000000000000000,315800.068,326.946823279477883,0.166572221382099,42.468,21.606,21.6588947577704
55,8105383.973480461165309,2170548.496106089558452,8107383.973480461165309,2168548.496106089558452,3551872.961541955824941,79254.585,18.000000000000000,181609.207,308.065921869864383,0.098284995919305,29.800,22.003,16.4767895070824
57,8105383.973480461165309,2166548.496106089558452,8107383.973480461165309,2164548.496106089558452,3553314.105092723388225,45925.091,9.000000000000000,37504.063,249.826243834062069,-0.026284235069280,7.633,9.704,9.66499515417036
58,8105383.973480461165309,2164548.496106089558452,8107383.973480461165309,2162548.496106089558452,3554033.968486892990768,132113.468,9.000000000000000,162955.262,284.776506083720449,0.027041946985236,22.563,20.344,12.8755659250532
59,8105383.973480461165309,2162548.496106089558452,8107383.973480461165309,2160548.496106089558452,3554753.359008457511663,14687.215,7.000000000000000,172689.566,293.806596526300723,0.040255987238755,22.401,14.095,16.3123567479989
62,8105383.973480461165309,2156548.496106089558452,8107383.973480461165309,2154548.496106089558452,3556908.688633340876549,74982.546,13.000000000000000,292892.774,341.490797171320935,0.105925467619094,47.591,43.947,31.0176379591534
63,8105383.973480461165309,2154548.496106089558452,8107383.973480461165309,2152548.496106089558452,3557626.182965781539679,129615.239,12.000000000000000,235690.014,336.371753973519162,0.155294777336501,41.487,36.050,27.4633259230114
64,8105383.973480461165309,2152548.496106089558452,8107383.973480461165309,2150548.496106089558452,3558343.202087217476219,35234.547,28.000000000000000,393220.866,349.908318728492361,0.127573892174930,50.736,61.159,36.3293006800262
65,8105383.973480461165309,2150548.496106089558452,8107383.973480461165309,2148548.496106089558452,3559059.745523396879435,6713.392,22.000000000000000,392856.736,348.593789698003434,0.061536538663651,50.426,70.056,33.2646767955655
67,8105383.973480461165309,2146548.496106089558452,8107383.973480461165309,2144548.496106089558452,3560491.403468172997236,114698.787,1.000000000000000,246240.839,258.148371584780591,0.053123889867938,30.602,23.106,21.2223428634858
68,8105383.973480461165309,2144548.496106089558452,8107383.973480461165309,2142548.496106089558452,3561206.517051266971976,80671.968,1.000000000000000,134106.800,209.337614047746712,0.014902550410011,12.490,8.871,11.3692588727588
72,8107383.973480461165309,2182548.496106089558452,8109383.973480461165309,2180548.496106089558452,3547538.230635135434568,16080.688,29.000000000000000,341690.121,314.121036815874220,0.178675144914101,39.714,21.161,22.6471478934131
73,8107383.973480461165309,2180548.496106089558452,8109383.973480461165309,2178548.496106089558452,3548261.860161618329585,521293.425,38.000000000000000,356488.797,396.279997649016195,0.133484878904488,49.180,48.484,27.5540648246371
74,8107383.973480461165309,2178548.496106089558452,8109383.973480461165309,2176548.496106089558452,3548985.020563507452607,215839.517,55.000000000000000,345535.497,379.666516365261259,0.134471501684354,39.318,36.987,26.7790017227899
75,8107383.973480461165309,2176548.496106089558452,8109383.973480461165309,2174548.496106089558452,3549707.711369837168604,157930.596,39.000000000000000,346727.946,357.348961190001603,0.151501982881304,36.414,38.596,24.5403795398121
76,8107383.973480461165309,2174548.496106089558452,8109383.973480461165309,2172548.496106089558452,3550429.932115118019283,315493.836,21.000000000000000,387897.706,375.928537359984773,0.137063543713202,42.703,43.929,23.2145233512484
77,8107383.973480461165309,2172548.496106089558452,8109383.973480461165309,2170548.496106089558452,3551151.682331670075655,475242.528,31.000000000000000,353276.390,367.978492598100161,0.124085623199679,50.538,61.952,28.4735427049909
78,8107383.973480461165309,2170548.496106089558452,8109383.973480461165309,2168548.496106089558452,3551872.961541955824941,283677.516,37.000000000000000,329764.234,364.596330981233962,0.152047319648406,44.873,46.487,27.4695381203951
79,8107383.973480461165309,2168548.496106089558452,8109383.973480461165309,2166548.496106089558452,3552593.769284866750240,129271.461,26.000000000000000,372968.570,352.317262370735762,0.139825131911737,52.516,44.095,28.7128433331413
81,8107383.973480461165309,2164548.496106089558452,8109383.973480461165309,2162548.496106089558452,3554033.968486892990768,24492.179,23.000000000000000,408239.579,366.091473319313764,0.121519993330161,55.637,57.542,31.7997351125081
82,8107383.973480461165309,2162548.496106089558452,8109383.973480461165309,2160548.496106089558452,3554753.359008457511663,131254.230,13.000000000000000,409982.316,347.780089178317951,0.126336905509095,51.256,54.148,34.3697273759439
84,8107383.973480461165309,2158548.496106089558452,8109383.973480461165309,2156548.496106089558452,3556190.719549909234047,1478.998,16.000000000000000,282762.415,347.623358282119170,0.104840008472900,45.411,42.808,30.5684488083387
86,8107383.973480461165309,2154548.496106089558452,8109383.973480461165309,2152548.496106089558452,3557626.182965781539679,96371.636,12.000000000000000,374596.372,365.920661496909645,0.136456158545293,55.830,51.577,28.4717399168469
88,8107383.973480461165309,2150548.496106089558452,8109383.973480461165309,2148548.496106089558452,3559059.745523396879435,,11.000000000000000,449290.616,344.840671648297985,0.088429601549792,60.403,77.730,35.752936233019
89,8107383.973480461165309,2148548.496106089558452,8109383.973480461165309,2146548.496106089558452,3559775.812804450280964,,5.000000000000000,253295.550,321.771932916849210,0.053749985379614,49.265,42.228,34.1365896316313
90,8107383.973480461165309,2146548.496106089558452,8109383.973480461165309,2144548.496106089558452,3560491.403468172997236,12885.154,2.000000000000000,89328.242,265.759183593749981,-0.040376552535540,19.211,16.220,17.7586940702698
93,8109383.973480461165309,2186548.496106089558452,8111383.973480461165309,2184548.496106089558452,3546089.566094441339374,126203.486,10.000000000000000,195104.649,297.509187213445102,0.174584576046117,21.635,8.765,15.0961482207428
94,8109383.973480461165309,2184548.496106089558452,8111383.973480461165309,2182548.496106089558452,3546814.132457214873284,286265.269,40.000000000000000,350057.309,394.846565466660707,0.160393850047706,35.353,24.886,25.9413839171273
95,8109383.973480461165309,2182548.496106089558452,8111383.973480461165309,2180548.496106089558452,3547538.230632944963872,205205.014,49.000000000000000,303356.069,441.801897400875589,0.136865655174498,44.328,35.804,29.2862002620787
96,8109383.973480461165309,2180548.496106089558452,8111383.973480461165309,2178548.496106089558452,3548261.860159427858889,398275.155,34.000000000000000,292348.064,372.281613555511854,0.165295447307337,39.232,27.349,23.7183825214368
97,8109383.973480461165309,2178548.496106089558452,8111383.973480461165309,2176548.496106089558452,3548985.020560221746564,846986.629,48.000000000000000,312052.504,480.408251598627885,0.149473956861003,31.878,40.368,24.5957712093535
98,8109383.973480461165309,2176548.496106089558452,8111383.973480461165309,2174548.496106089558452,3549707.711367646697909,417515.009,39.000000000000000,334289.556,508.593660816865793,0.152753102096450,37.750,36.769,28.1475825117228
99,8109383.973480461165309,2174548.496106089558452,8111383.973480461165309,2172548.496106089558452,3550429.932112927548587,71359.954,16.000000000000000,230744.261,449.303207819935551,0.207332685714794,31.318,27.960,21.1525346258101
100,8109383.973480461165309,2172548.496106089558452,8111383.973480461165309,2170548.496106089558452,3551151.682328384369612,742440.984,25.000000000000000,264225.440,346.616044561068236,0.160048151550713,43.363,44.183,27.4955189753941
103,8109383.973480461165309,2166548.496106089558452,8111383.973480461165309,2164548.496106089558452,3553314.105089437682182,251679.891,15.000000000000000,225455.143,338.144623259794855,0.111691516094562,68.161,59.767,41.1431496124984
